ds,Consumption
2045-03-01,236540.06570329456
2045-04-01,236713.87356506483
2045-05-01,236882.0747216167
2045-06-01,237055.88258338696
2045-07-01,237224.08373993885
2045-08-01,237397.89160170913
2045-09-01,237571.6994634794
2045-10-01,237739.90062003126
2045-11-01,237913.70848180153
2045-12-01,238081.90963835342
2046-01-01,238255.7175001237
2046-02-01,238429.52536189396
2046-03-01,238586.51310800904
2046-04-01,238760.3209697793
2046-05-01,238928.52212633117
2046-06-01,239102.32998810144
2046-07-01,239270.53114465333
2046-08-01,239444.3390064236
2046-09-01,239618.14686819387
2046-10-01,239786.34802474573
2046-11-01,239960.155886516
2046-12-01,240128.3570430679
2047-01-01,240302.16490483817
2047-02-01,240475.97276660844
2047-03-01,240632.9605127235
2047-04-01,240806.76837449378
2047-05-01,240974.96953104567
2047-06-01,241148.77739281594
2047-07-01,241316.9785493678
2047-08-01,241490.78641113808
2047-09-01,241664.59427290835
2047-10-01,241832.79542946024
2047-11-01,242006.6032912305
2047-12-01,242174.80444778237
2048-01-01,242348.61230955264
2048-02-01,242522.4201713229
2048-03-01,242685.0146226564
2048-04-01,242858.82248442667
2048-05-01,243027.02364097853
2048-06-01,243200.8315027488
2048-07-01,243369.0326593007
2048-08-01,243542.84052107096
2048-09-01,243716.64838284123
2048-10-01,243884.8495393931
2048-11-01,244058.65740116336
2048-12-01,244226.85855771526
2049-01-01,244400.66641948553
2049-02-01,244574.4742812558
2049-03-01,244731.46202737087
2049-04-01,244905.26988914114
2049-05-01,245073.47104569303
2049-06-01,245247.2789074633
2049-07-01,245415.48006401517
2049-08-01,245589.28792578544
2049-09-01,245763.0957875557
2049-10-01,245931.2969441076
2049-11-01,246105.10480587787
2049-12-01,246273.30596242973
2050-01-01,246447.1138242
2050-02-01,246589.15058441568
2050-03-01,246717.44185170723
2050-04-01,246859.47861192288
2050-05-01,246996.93354116386
2050-06-01,247138.9703013795
2050-07-01,247276.4252306205
2050-08-01,247418.46199083613
2050-09-01,247560.4987510518
2050-10-01,247697.95368029276
2050-11-01,247839.99044050844
2050-12-01,247977.4453697494
2051-01-01,248119.48212996506
2051-02-01,248261.51889018074
2051-03-01,248389.8101574723
2051-04-01,248531.84691768794
2051-05-01,248669.30184692892
2051-06-01,248811.33860714457
2051-07-01,248948.79353638555
2051-08-01,249090.8302966012
2051-09-01,249232.86705681687
2051-10-01,249370.32198605782
2051-11-01,249512.3587462735
2051-12-01,249649.81367551445
2052-01-01,249791.85043573013
2052-02-01,249933.8871959458
2052-03-01,250066.76029421206
2052-04-01,250208.7970544277
2052-05-01,250346.25198366868
2052-06-01,250488.28874388433
2052-07-01,250625.7436731253
2052-08-01,250767.78043334096
2052-09-01,250909.81719355664
2052-10-01,251047.27212279759
2052-11-01,251189.30888301326
2052-12-01,251326.7638122542
2053-01-01,251468.8005724699
2053-02-01,251610.83733268557
2053-03-01,251739.12859997712
2053-04-01,251881.16536019277
2053-05-01,252018.62028943375
2053-06-01,252160.6570496494
2053-07-01,252298.11197889037
2053-08-01,252440.14873910602
2053-09-01,252582.1854993217
2053-10-01,252719.64042856265
2053-11-01,252861.67718877833
2053-12-01,252999.13211801928
2054-01-01,253141.16887823495
2054-02-01,253283.20563845063
2054-03-01,253411.49690574218
2054-04-01,253553.53366595783
2054-05-01,253690.9885951988
2054-06-01,253833.02535541446
2054-07-01,253970.48028465544
2054-08-01,254112.51704487109
2054-09-01,254254.55380508676
2054-10-01,254392.0087343277
2054-11-01,254534.0454945434
2054-12-01,254671.50042378434
2055-01-01,254813.53718400002
2055-02-01,254955.5739442157
2055-03-01,255083.86521150725
2055-04-01,255225.9019717229
2055-05-01,255363.35690096387
2055-06-01,255505.39366117952
2055-07-01,255642.8485904205
2055-08-01,255784.88535063615
2055-09-01,255926.92211085182
2055-10-01,256064.37704009278
2055-11-01,256206.41380030845
2055-12-01,256343.8687295494
2056-01-01,256485.90548976508
2056-02-01,256627.94224998076
2056-03-01,256760.815348247
2056-04-01,256902.85210846266
2056-05-01,257040.30703770363
2056-06-01,257182.34379791928
2056-07-01,257319.79872716026
2056-08-01,257461.8354873759
2056-09-01,257603.8722475916
